Fecha,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5,Punto 6,Punto 7,Punto 8,Punto 9,Punto 10,Punto 11,Punto 12,Punto 13,Punto 14,Punto 15,Punto 16,Punto 17,Total
2019-06-30,0,0,0,40000,0,0,70000,0,0,0,0,0,29850,0,0,17552,0,157402
2019-07-01,22748,0,0,0,25000,0,0,0,0,0,0,208520,0,0,0,0,0,256268
2019-07-02,28434,0,0,0,0,0,0,0,0,0,0,208524,0,0,0,0,0,236958
2019-07-03,0,0,0,0,0,0,0,0,0,0,0,208580,0,0,0,0,0,208580
2019-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05,0,0,0,58000,0,0,60000,0,0,0,0,0,0,0,0,0,0,118000
2019-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40000
2019-07-10,0,0,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
2019-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,0,0,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,160000
2019-07-13,0,0,0,148168,35638,0,0,0,0,0,0,0,0,0,0,0,0,183806
2019-07-14,0,0,0,0,148168,0,0,0,0,0,0,0,0,0,0,0,0,148168
2019-07-15,0,0,0,158168,0,0,0,0,0,0,0,0,0,0,0,0,0,158168
2019-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-18,0,0,0,136000,0,0,0,0,0,0,0,0,0,0,0,0,0,136000
2019-07-19,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,5800
2019-07-20,0,0,0,0,0,0,28898,0,0,0,0,0,0,0,0,0,0,28898
2019-07-21,0,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,52000
2019-07-22,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000
2019-07-23,0,0,0,0,0,0,37916,0,0,0,0,0,0,0,0,0,0,37916
2019-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-26,0,0,0,0,138000,0,0,0,0,0,0,0,0,0,0,0,0,138000
2019-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30,0,0,0,0,107348,0,0,0,0,0,0,0,0,0,0,0,0,107348
2019-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-02,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,18000
2019-08-03,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,18000
2019-08-04,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,18000
2019-08-05,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,18000
2019-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-08,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,18000
2019-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-12,45354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45354
2019-08-13,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,18000
2019-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-16,0,0,0,0,0,0,0,0,0,0,0,0,56272,0,0,0,0,56272
2019-08-17,0,0,0,0,0,0,0,0,0,0,0,0,16412,0,0,0,0,16412
2019-08-18,0,0,0,0,0,0,0,0,0,0,0,0,16412,0,0,0,0,16412
2019-08-19,0,0,0,10000,0,0,0,0,0,0,0,0,16412,0,0,0,0,26412
2019-08-20,0,0,0,0,0,0,0,0,0,0,0,0,86194,0,0,0,0,86194
2019-08-21,0,0,0,86236,0,0,0,0,0,0,0,0,82272,0,0,0,0,168508
2019-08-22,0,0,0,0,0,0,0,0,0,0,0,0,48376,0,0,0,0,48376
2019-08-23,0,0,0,0,0,0,0,0,0,0,0,0,24830,0,0,0,0,24830
2019-08-24,0,0,30000,96000,0,0,49456,0,0,0,0,0,49426,0,0,0,0,224882
2019-08-25,0,0,0,0,0,0,0,0,0,0,0,0,49426,0,0,0,0,49426
2019-08-26,0,0,0,0,0,0,0,0,0,0,0,0,29102,0,0,0,0,29102
2019-08-27,0,0,51188,0,0,0,0,0,4018,0,0,0,84404,0,0,0,0,139610
2019-08-28,0,0,0,0,0,0,0,0,0,0,0,0,95868,0,0,0,0,95868
2019-08-29,0,0,0,0,0,0,0,0,0,0,0,0,53220,0,0,0,0,53220
2019-08-30,0,0,0,0,0,0,0,0,0,0,0,0,90088,0,0,0,0,90088
2019-08-31,0,0,0,0,0,0,0,0,0,0,0,0,86168,0,0,0,0,86168
2019-09-01,0,34210,0,168034,36016,0,0,0,0,0,0,0,46692,0,0,0,0,284952
2019-09-02,0,6210,18956,189832,36016,0,45196,0,0,0,0,0,46690,0,0,0,0,342900
2019-09-03,0,0,27540,134104,0,0,65208,0,0,0,0,157060,0,0,0,0,0,383912
2019-09-04,0,0,0,0,0,0,0,0,0,0,0,155888,0,0,0,0,0,155888
2019-09-05,0,0,29236,0,0,0,0,0,0,0,0,136256,0,0,0,0,0,165492
2019-09-06,0,0,0,0,0,0,50026,0,0,0,0,100000,0,0,0,0,0,150026
2019-09-07,0,0,11260,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,111260
2019-09-08,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,100000
2019-09-09,0,0,0,8334,0,0,0,0,0,0,0,100000,0,0,0,0,0,108334
2019-09-10,0,0,0,0,0,0,11926,0,0,0,0,0,0,0,0,0,0,11926
2019-09-11,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,40000
2019-09-12,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,10000
2019-09-13,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,40000
2019-09-14,0,0,6072,4604,0,0,9478,0,0,0,0,0,12378,0,0,0,0,32532
2019-09-15,101280,0,18956,39932,0,0,0,0,0,0,0,0,12378,0,0,0,0,172546
2019-09-16,0,0,37912,35596,0,0,0,0,541916,0,0,0,12378,0,0,16492,0,644294
2019-09-17,0,0,3468,0,56868,0,0,0,0,0,0,1208764,0,0,0,0,0,1269100
2019-09-18,0,0,0,54000,0,0,0,0,10204,0,0,1262784,10000,0,0,0,0,1336988
2019-09-19,0,0,0,217080,26538,0,0,0,0,0,0,1034284,14000,0,0,0,0,1291902
2019-09-20,0,0,0,0,0,0,0,0,0,0,0,1058924,0,0,0,0,0,1058924
2019-09-21,0,0,0,175852,0,0,15166,0,0,0,0,965446,0,0,0,0,0,1156464
2019-09-22,49286,0,9772,197200,0,0,55740,0,0,0,0,1720248,0,0,0,0,0,2032246
2019-09-23,0,0,0,240330,0,0,47390,0,0,0,0,965446,0,0,0,0,0,1253166
2019-09-24,0,0,0,28070,31930,0,0,0,2,0,0,1072468,0,0,0,0,0,1132470
2019-09-25,0,0,0,0,46000,0,0,0,0,0,0,1134264,0,0,0,0,0,1180264
2019-09-26,64000,47234,0,0,0,0,0,0,13296,0,0,1096580,52378,0,0,0,0,1273488
2019-09-27,0,0,0,0,20000,0,0,0,0,0,0,1017746,52378,0,0,0,0,1090124
2019-09-28,30000,0,0,0,0,0,0,0,0,0,0,1199066,41984,0,0,0,0,1271050
2019-09-29,108050,0,7950,0,0,0,0,0,0,0,0,1199064,57694,0,0,0,0,1372758
2019-09-30,0,0,60000,0,0,0,0,0,0,0,0,1199064,42688,0,0,0,0,1301752
2019-10-01,0,2,0,0,0,0,0,0,1307724,0,0,1461918,604020,0,0,0,0,3373664
2019-10-02,0,2,0,0,0,0,0,0,1248626,0,0,1407194,581220,0,0,0,0,3237042
2019-10-03,0,2,0,183224,0,0,0,0,1058898,0,0,1445350,649242,0,0,0,0,3336716
2019-10-04,0,20000,0,0,0,0,0,0,1175896,0,0,1440000,776244,0,0,0,0,3412140
2019-10-05,0,18568,0,105546,0,0,0,0,1023178,0,0,1319138,673682,0,0,0,0,3140112
2019-10-06,0,0,0,122094,19004,0,0,0,1023178,0,0,1319138,696100,0,0,0,0,3179514
2019-10-07,0,57000,0,0,0,0,0,0,1023178,0,0,1319138,683610,0,0,0,0,3082926
2019-10-08,0,74274,0,0,0,0,0,0,1176526,0,0,1306112,674066,0,0,0,0,3230978
2019-10-09,0,49294,0,0,0,0,0,0,1153332,0,0,1231596,697162,0,0,0,0,3131384
2019-10-10,0,40000,0,0,0,0,0,0,1160650,0,0,1248984,694430,0,0,0,0,3144064
2019-10-11,0,0,0,0,0,0,0,0,955146,0,0,1263412,696974,0,0,0,0,2915532
2019-10-12,0,7058,0,0,0,0,0,0,1023178,0,0,1161920,694430,0,0,0,0,2886586
2019-10-13,0,33528,0,0,0,0,0,0,1023178,0,0,1161918,691918,0,0,0,0,2910542
2019-10-14,0,34000,0,0,0,0,0,0,1023178,0,0,1161918,694432,0,0,0,0,2913528
2019-10-15,0,0,0,0,0,0,0,0,1049496,0,0,1307630,693292,0,0,0,0,3050418
2019-10-16,0,0,0,0,0,0,0,0,1043178,0,0,1334200,662358,0,0,0,0,3039736
2019-10-17,6200,0,0,306000,0,0,119186,0,1042118,0,0,1321684,654268,0,0,0,0,3449456
