Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN
2020-08-27,60.009056,9.4145575,161.53008,196.405,106.27348,106.24841,200.92253,138.71872,37.276955
2020-08-28,59.057716,8.4212713,160.52533,197.36578,101.23643,107.22928,195.18376,141.28317,37.677826
2020-08-29,55.734917,8.094821,152.04175,186.74005,93.075005,103.3778,182.10741,139.05615,37.730751
2020-08-30,51.009808,8.4839487,138.85764,172.13568,88.138092,93.722054,159.41075,135.13231,37.675438
2020-08-31,55.389084,9.0591488,155.22768,198.52367,90.778778,102.97977,184.19968,144.90205,40.525738
2020-09-01,55.943813,9.0569944,134.04782,204.38438,86.650047,102.33427,189.80264,172.26497,41.026558
2020-09-02,56.671402,9.2397776,136.09889,199.64035,88.272026,102.0479,194.59631,173.19374,40.368809
2020-09-03,57.499817,9.4946966,135.04651,192.86252,94.078293,100.92892,197.15938,173.31534,38.632629
2020-09-04,58.709888,9.8131771,134.98181,183.53162,102.01083,101.84918,197.70363,170.43919,37.637806
2020-09-05,58.568134,9.9768009,126.97527,155.18022,103.54987,95.671906,185.30876,165.53069,36.171803
2020-09-06,57.079075,9.6254826,116.1888,132.80742,92.316322,85.240799,160.4968,155.01433,35.110096
2020-09-07,61.172585,9.526988,130.12927,158.80449,90.76783,95.566452,187.49884,164.20871,37.436756
2020-09-08,54.769096,9.4501953,135.27808,168.76062,90.29734,97.006416,194.30779,168.63551,37.686413
2020-09-09,46.848812,9.4637356,138.03181,167.92863,90.15799,89.758766,192.91341,168.60959,39.162659
2020-09-10,45.590027,9.7190638,136.69441,150.7262,90.582985,88.114967,190.20859,171.56525,39.24646
2020-09-11,43.25066,9.7968454,159.43843,139.07765,87.284363,86.434158,188.29144,142.25339,37.25993
2020-09-12,42.276497,9.6160088,153.33208,141.30389,84.809326,81.668617,179.4903,141.23505,35.702572
2020-09-13,40.369045,9.1925459,141.90074,139.35597,83.337349,71.002159,157.11961,135.59119,35.225422
2020-09-14,46.187099,9.2714329,154.31828,156.00623,89.721146,76.52739,180.86028,142.64658,37.875153
2020-09-15,50.268414,9.4162588,153.01443,155.77058,93.117744,79.503922,186.1169,140.63664,37.613914
2020-09-16,51.189247,9.4005222,133.92854,155.3174,91.933823,77.131485,163.90956,131.23152,37.541653
